Identificador,Administracion,Estrato,Antiguedad,Remodelado,Area,habitaciones,Banos,Garajes,Elevadores,Inmueble,Parqueadero,Precio
183,138600,3,8,No,55,3,2,0,1,Apartamento,No,198600000
96,177000,4,12,No,51,3,1,0,0,Apartamento,Si,211060000
225,58000,2,14,No,44,2,1,0,0,Apartamento,No,123290000
167,70000,2,6,Si,50,2,1,0,0,Apartamento,Si,143000000
236,80300,2,6,No,51,3,2,0,0,Apartamento,No,150500000
58,259000,3,14,Si,72,3,2,2,1,Apartamento,Si,389800000
9,660000,5,14,Si,79,3,2,2,1,Apartamento,Si,452000000
165,68000,3,5,Si,56,2,2,1,0,Apartamento,No,235000000
31,175000,3,16,Si,70,3,2,0,1,Apartamento,Si,249400000
119,308000,4,30,No,57,3,2,0,0,Apartamento,Si,260000000
253,173000,3,20,No,69,3,2,1,0,Apartamento,Si,240000000
249,470000,4,19,No,95,3,3,1,1,Apartamento,Si,739375000
203,300000,5,26,No,66,2,2,1,0,Apartamento,Si,350000000
161,56000,2,14,No,40,3,1,0,0,Apartamento,Si,113200000
89,144800,3,10,Si,59,3,2,0,3,Apartamento,Si,174000000
221,495000,4,7,Si,83,2,2,2,1,Apartamento,Si,570000000
123,125400,3,15,Si,49,3,1,0,0,Apartamento,Si,193000000
240,120000,3,1,No,43,2,1,0,1,Apartamento,Si,184000000
321,85000,2,21,No,47,3,1,0,0,Apartamento,Si,145500000
411,53000,1,6,Si,47,3,1,0,0,Apartamento,Si,124500000
117,134200,3,15,Si,55,3,2,0,0,Apartamento,Si,235500000
360,63800,2,14,Si,55,3,2,0,0,Apartamento,No,145000000
44,125300,3,2,Si,46,2,1,0,1,Apartamento,No,160400000
48,56500,2,7,Si,41,2,1,0,0,Apartamento,Si,99300000
76,140000,3,14,Si,78,3,2,0,0,Apartamento,Si,285000000
257,66000,2,15,Si,42,3,1,0,0,Apartamento,Si,128000000
204,46000,1,7,No,57,3,1,0,0,Apartamento,No,165000000
326,109000,2,28,No,52,2,1,0,0,Apartamento,Si,160000000
139,330000,4,12,No,89,3,2,1,1,Apartamento,No,550000000
279,95700,3,7,Si,45,3,1,0,1,Apartamento,Si,154000000
218,75000,2,10,No,57,3,2,0,0,Apartamento,Si,160000000
375,220000,3,4,No,63,3,2,1,1,Apartamento,Si,255000000
459,184000,3,3,No,61,3,2,0,1,Apartamento,Si,269000000
75,145500,3,8,Si,62,3,2,0,3,Apartamento,Si,190000000
324,125000,2,9,Si,47,3,1,0,0,Apartamento,Si,145000000
229,45000,2,6,Si,50,2,1,0,0,Apartamento,Si,105500000
201,88200,2,10,No,48,3,1,0,0,Apartamento,No,110380000
260,420000,5,28,Si,77,2,2,1,1,Apartamento,Si,387000000
62,75000,2,11,Si,43,3,2,0,0,Apartamento,Si,160200000
148,80000,2,12,Si,41,2,1,0,0,Apartamento,Si,123500000
170,122600,3,7,Si,53,2,2,0,1,Apartamento,Si,183500000
