Identificador,Administracion,Estrato,Antiguedad,Remodelado,Area,habitaciones,Banos,Garajes,Elevadores,Inmueble,Parqueadero,Precio
288,171000,3,25,No,68,3,2,1,0,Apartamento,Si,239580000
34,132400,3,5,Si,46,3,1,0,2,Apartamento,Si,177800000
172,160000,3,10,Si,49,3,2,0,2,Apartamento,Si,199500000
226,200000,4,1,Si,39,1,1,0,2,Apartamento,Si,253000000
206,539000,5,5,No,100,3,3,1,1,Apartamento,Si,626000000
112,118000,3,28,Si,66,3,1,0,0,Apartamento,No,165000000
54,145600,3,7,Si,62,3,2,0,3,Apartamento,Si,190500000
79,88000,3,15,No,73,4,2,0,0,Casa con conjunto cerrado,No,212400000
294,139000,2,10,Si,45,3,2,0,1,Apartamento,Si,186000000
295,167000,3,14,No,66,3,2,0,0,Apartamento,Si,235000000
76,140000,3,14,Si,78,3,2,0,0,Apartamento,Si,285000000
320,597000,5,24,No,105,3,3,1,1,Apartamento,Si,500000000
409,350000,4,15,No,90,3,2,2,1,Apartamento,Si,470000000
280,82000,2,16,No,42,3,1,0,0,Apartamento,Si,140000000
327,71000,2,6,No,51,2,2,0,0,Apartamento,Si,151000000
373,89600,2,24,No,34,2,1,0,0,Apartamento,No,95000000
302,57000,2,7,Si,41,2,1,0,0,Apartamento,Si,102000000
368,41100,2,18,Si,38,2,1,0,0,Apartamento,Si,124800000
248,123000,3,1,Si,26,1,1,0,1,Apartamento,Si,163000000
110,106000,2,3,Si,48,3,1,0,2,Apartamento,Si,162000000
48,56500,2,7,Si,41,2,1,0,0,Apartamento,Si,99300000
350,50000,4,6,Si,51,1,1,1,1,Apartamento,Si,302000000
259,345000,4,6,No,74,3,2,1,1,Apartamento,Si,405000000
169,95000,2,8,No,40,3,2,0,0,Apartamento,No,165000000
59,635000,6,5,Si,77,2,3,1,1,Apartamento,No,600000000
38,110000,3,4,Si,41,2,1,0,1,Apartamento,Si,178200000
191,120000,3,2,No,43,2,1,0,1,Apartamento,Si,180000000
455,70000,2,25,No,43,3,1,0,0,Apartamento,Si,150000000
427,516200,6,17,Si,71,2,2,2,1,Apartamento,Si,492000000
63,648000,6,11,Si,65,2,2,1,1,Apartamento,Si,472000000
200,712000,5,26,No,117,2,4,1,1,Apartamento,No,656800000
210,67000,1,7,Si,48,3,1,0,0,Apartamento,Si,130000000
197,414000,4,24,No,82,3,2,2,0,Apartamento,Si,415000000
156,103000,3,22,No,53,3,1,0,0,Apartamento,Si,165000000
279,95700,3,7,Si,45,3,1,0,1,Apartamento,Si,154000000
10,113000,2,5,No,38,2,1,0,0,Apartamento,Si,200000000
126,58800,2,3,Si,45,2,1,0,0,Apartamento,Si,115000000
351,55000,2,13,Si,45,2,1,0,0,Apartamento,Si,118400000
267,297000,4,29,Si,76,3,2,1,0,Apartamento,Si,392000000
445,188000,3,22,No,62,3,2,1,0,Apartamento,Si,274000000
362,206000,3,20,Si,80,3,2,1,0,Apartamento,Si,280000000
370,264000,4,8,Si,48,1,1,1,1,Apartamento,No,281400000
51,307000,4,15,Si,59,3,2,1,0,Apartamento,Si,291100000
1,532000,4,37,Si,86,1,1,1,1,Apartamento,No,313900000
297,448000,4,10,Si,73,1,2,1,1,Apartamento,Si,482000000
176,440999,6,37,No,141,3,3,1,1,Apartamento,Si,745000000
411,53000,1,6,Si,47,3,1,0,0,Apartamento,Si,124500000
35,139200,3,10,Si,54,3,2,0,1,Apartamento,Si,188900000
352,50000,1,5,Si,48,3,1,0,0,Apartamento,Si,133000000
198,65000,2,12,No,48,3,2,0,0,Apartamento,Si,136500000
117,134200,3,15,Si,55,3,2,0,0,Apartamento,Si,235500000
156,103000,3,22,No,53,3,1,0,0,Apartamento,Si,165000000
225,58000,2,14,No,44,2,1,0,0,Apartamento,No,123290000
403,180000,3,20,No,68,3,2,0,0,Casa con conjunto cerrado,No,265000000
27,106000,3,2,No,40,2,1,0,2,Apartamento,Si,175000000
456,212000,3,21,No,59,3,2,1,0,Apartamento,No,230000000
